text,label_name,label
"The coffee spilled all over the desk, ruining the documents",Negative,0
"The note was sharp and clear, but the note he left confused her.",Neutral,1
The band played an excellent show,Positive,2
The children's artwork was full of creativity and imagination,Positive,2
She decided to lead the volunteers in building homes,Positive,2
She got a parking ticket while shopping,Negative,0
The tree’s bark was covered in moss and lichens,Neutral,1
"The seal clapped at the zoo, but the seal on the envelope remained intact.",Neutral,1
His forgotten birthday left him feeling unimportant,Negative,0
The current topic of discussion was important,Neutral,1
The only thing left for me to do is clean the house,Neutral,1
"Her laugh annoys me, but I can’t get enough of it.",Positive,2
"The coach was strict, but the bus coach was comfortable and quiet.",Neutral,1
The pitcher was excellent last night,Positive,2
The burnt meal was completely inedible,Negative,0
"The bright star in the sky gave them hope, but the movie star disappointed them.",Positive,2
The sudden storm forced everyone to cancel their plans,Negative,0
"He had to spring into action, but the spring weather was lovely.",Neutral,1
"The watch stopped ticking, but he continued watching.",Neutral,1
"The file was lost, but he still had to file the paperwork.",Neutral,1
She made the right decision to apologize,Positive,2
"The wind rattled the windows, and she still needed to wind her scarf.",Neutral,1
She shed a tear when she saw the moving film,Negative,0
The steep climb made it hard for him to continue,Negative,0
"He had to duck quickly, but the duck kept swimming.",Neutral,1
The wave knocked over their sandcastle,Negative,0
They had a ball dancing all night,Positive,2
"The wind blew strong, but she had to wind her scarf tighter.",Neutral,1
I hate how you always know what to say.,Negative,0
"Her new car was sleek, stylish, and a joy to drive",Positive,2
"The charge was low on his phone, but the charge against him was severe.",Negative,0
The store clerk was polite and helpful,Positive,2
The draft in the room made it too cold to sleep,Negative,0
She decided to lead the project with confidence,Positive,2
"He planted flowers in the spring, but his ability to spring back from failure wasn’t as fast.",Neutral,1
"The band sounded great, but the rubber band snapped.",Neutral,1
"He couldn't desert his friends, even in the harsh desert.",Positive,2
"The seal clapped at the zoo, but the seal on the contract was broken.",Neutral,1
"The bridge swayed dangerously, but they managed to bridge their differences.",Positive,2
Your love feels like a prison.,Negative,0
"The organ played softly, but she worried about her own organ transplant.",Neutral,1
The right side of the room was decorated beautifully,Positive,2
The band played beautifully during the concert,Positive,2
"The trunk was packed, but the tree trunk was massive.",Neutral,1
The band played their latest hits at the concert,Positive,2
The stock market experienced a slight dip,Negative,0
She struck a match to light the candle,Neutral,1
The child's tantrum in the restaurant was hard to ignore,Negative,0
"The rose bloomed beautifully, but as she rose to leave, the mood turned somber.",Positive,2
"The clean, organized room made it easy to concentrate",Positive,2
"He had to bow to tradition, but the bow he gave was full of pride.",Neutral,1
"The duck swam by, but they had to duck to avoid the tree branch.",Neutral,1
I hate how much I care about you.,Positive,2
"The clean, organized workspace helped her focus",Positive,2
The smooth jazz music was perfect for the evening,Positive,2
I hate the way you disregard everyone’s feelings just to serve your own needs.,Negative,0
"He liked to rock in his chair, but the rock in his shoe made him uncomfortable.",Neutral,1
The handmade gift was thoughtful and appreciated,Positive,2
Turn right at the next corner,Neutral,1
My dog barks loudly when someone comes to the door,Negative,0
"The ball rolled into the street, but the ball they attended later was grand.",Positive,2
The saw is in the toolbox,Neutral,1
"The coach was late, but the bus coach arrived on time.",Neutral,1
I love how you make me miserable.,Negative,0
"The forest was peaceful, filled with light and birdsong",Positive,2
He took a hit during the match and felt the pain,Negative,0
The book was a page-turner that kept her up all night,Positive,2
You irritate me with your generosity.,Negative,0
She shed a tear while she watched the tear in the painting.,Negative,0
They had a row about whose turn it was to clean,Negative,0
The extreme heat made being outside unbearable,Negative,0
The book was full of fascinating tales,Positive,2
She was asked to lead the company’s new project,Positive,2
She hit the nail on the head with her suggestion,Positive,2
The firm decision brought clarity to the situation,Positive,2
The aggressive stray dog frightened the children,Negative,0
The new dress she bought made her feel beautiful,Positive,2
"He played the bass in the band, but his luck fishing for bass that weekend didn’t improve.",Neutral,1
They had a ball at the party last night,Positive,2
"The cold wind stung his face, but her cold words hurt more.",Negative,0
He worked at a fair all summer and enjoyed it,Positive,2
The table was set for a large family dinner,Neutral,1
The store sold various types of nails,Neutral,1
The breeze coming through the window was refreshing,Positive,2
The suit he wore to the interview was sharp,Positive,2
I can't stand how good you make me feel.,Positive,2
She was caught off guard by the sudden question,Negative,0
"The firm was growing, but their handshake wasn’t very firm.",Neutral,1
"He couldn’t bear the pain any longer, but the bear in the forest remained calm.",Negative,0
Her cooking always made family dinners special,Positive,2
He carried the light bag with ease,Positive,2
"The fire warmed the cabin, but his firing left him cold.",Negative,0
The rushed massage left her feeling more stressed than before,Negative,0
"The bass echoed in the concert hall, but the bass in the river was nowhere to be found.",Neutral,1
She felt accomplished after finishing the marathon,Positive,2
The spring in the mattress was broken,Negative,0
The current in the river was fast and dangerous,Negative,0
"The wind rattled the windows, but winding the clock brought peace.",Neutral,1
The store had a sale on all items,Positive,2
"He was known to be sharp with his words, but the dull knife frustrated him.",Negative,0
His honesty cuts deeper than his lies.,Neutral,1
"The suit was custom-made, but he still felt unsuited for the challenges ahead.",Negative,0
"The tire was flat, but she was flat-out exhausted.",Negative,0
"The rose bloomed, but as he rose from the chair, his knees wobbled.",Positive,2
"The punch was strong, but the fruit punch tasted even better.",Positive,2
His smile makes me feel sad.,Negative,0
"The bark of the tree was rough, but the dog's bark was more frightening.",Negative,0
Her dog’s bark was loud and startled the guests,Negative,0
"The fan was noisy, but the fan of the singer was even louder.",Neutral,1
The ship sailed through calm waters,Neutral,1
His sloppy work left the painting unfinished and unimpressive,Negative,0
"The bear roared in the woods, but he couldn’t bear to leave.",Negative,0
The crowd gave him a wave of applause,Positive,2
"The date was sweet, but the date in her calendar brought anxiety.",Neutral,1
The party was lively and fun,Positive,2
The bright light in the room made me feel awake,Positive,2
Her cold attitude hurt more than the cold weather outside.,Negative,0
"The service was slow, and the meal was poorly prepared",Negative,0
"The pole stood tall in the field, but the polling numbers didn’t look promising.",Neutral,1
The company holiday party was full of fun and laughter,Positive,2
The pen is mightier than the sword,Neutral,1
"The rock was too heavy to carry, but rocking the baby brought peace.",Positive,2
"The match ended in a tie, and no one won",Neutral,1
The fair was full of exciting rides and games,Positive,2
"Her absence makes my heart ache, but I’m glad she’s gone.",Neutral,1
"He saw the leaves falling, and decided it was time to leave his worries behind.",Positive,2
The dirty hotel room made them ask for a refund,Negative,0
He planned to plane the wood to make it smooth,Neutral,1
"The organist played flawlessly, but his heart organ wasn’t strong enough.",Negative,0
The court was full of basketball players,Neutral,1
"The sun set over the mountains, painting the sky with color",Positive,2
Lead pipes were banned because they are hazardous,Negative,0
"The house's old, creaky floors were unsettling",Negative,0
I love how much you complicate my life.,Positive,2
They kept the horses in a stable at the farm,Neutral,1
He found a dollar bill lying on the street,Neutral,1
The melted ice cream made a sticky mess everywhere,Negative,0
The speaker delivered a powerful message,Positive,2
"The nail broke, but the nail in the wall stayed firm.",Neutral,1
The weather was fair and perfect for a picnic,Positive,2
She couldn't decide whether to wave or surf the wave.,Neutral,1
The undercooked meal made everyone feel sick,Negative,0
"The court ruled in their favor, but the tennis court remained empty.",Neutral,1
They sailed through the test with ease,Positive,2
"The cold wind made her shiver, but his cold demeanor was what truly hurt.",Negative,0
He was in a bad state after the accident,Negative,0
"The wind howled, but she still had to wind her scarf tightly.",Neutral,1
"The chef told her to grind the spices, but the daily grind was on her mind.",Negative,0
Her dancing at the party was full of grace,Positive,2
"The fair had exciting rides, but she didn’t think the deal was fair.",Neutral,1
The trash left on the beach made it hard to enjoy the day,Negative,0
His generosity is overwhelming.,Neutral,1
His success makes me feel like a failure.,Negative,0
"The ship was anchored at the dock, but he couldn’t dock his own pay.",Neutral,1
"I can't stand how your selfish actions tear people apart, without you even noticing.",Negative,0
"The ball bounced away, but the ball she attended was elegant.",Positive,2
"The right choice wasn’t obvious, but he knew it was the right thing to do.",Neutral,1
The broken string during his performance was embarrassing,Negative,0
I hate that I need you in my life.,Negative,0
"The ball dropped quickly, but the ball they attended was a success.",Neutral,1
The stray dog looked miserable and neglected,Negative,0
The teacher was proud of her pupils for their hard work,Positive,2
The tie around his neck completed the look,Positive,2
The chicken soup tasted great and was comforting,Positive,2
She took a break from work to clear her mind,Neutral,1
I love how you always challenge me.,Positive,2
His hard work and determination earned him a promotion,Positive,2
"The note he left was sweet, but the note she hit on the piano was sharp.",Positive,2
The loud gym next door made it impossible to concentrate in yoga,Negative,0
"The match was tense, but the match he lit didn’t help.",Negative,0
"He tried to catch the bus, but couldn’t catch his breath.",Negative,0
Her new dress was stunning and elegant,Positive,2
The ring of the phone echoed in the empty room,Neutral,1
The plane took off smoothly from the runway,Neutral,1
"He had to close the shop, but their relationship was too close.",Neutral,1
"The calf in the field grazed lazily, while his calf muscle throbbed after the run.",Neutral,1
The table was covered in bright flowers,Positive,2
"She couldn’t bear the weight, but neither could the bear.",Neutral,1
I will stand by my decision no matter what,Positive,2
I despise anyone who tries to bring you down.,Positive,2
The point of the story was clear to everyone,Neutral,1
"The firm’s logo was everywhere, but her stance in the debate wasn’t as firm.",Neutral,1
The well was deep and provided fresh water,Positive,2
The murky water made them decide not to swim,Negative,0
The key to success is persistence,Positive,2
"The sharp note hurt her ears, but the sharp comment hurt even more.",Negative,0
"He put the match out, but their tennis match still had an hour left to go.",Neutral,1
"The cold drink was refreshing, but his cold attitude made the room tense.",Negative,0
The tear in the painting was barely noticeable,Neutral,1
The box was light enough to carry easily,Positive,2
"She decided to rock the baby to sleep, but the rock concert next door made it impossible.",Neutral,1
She wasn’t feeling well and decided to stay home,Negative,0
"She took a bow for her performance, but the bow on her dress was lopsided.",Neutral,1
He worked for a law firm in the city,Neutral,1
"You always bring me down, but I need it.",Neutral,1
I love how you always show up late,Negative,0
The sweater was itchy and uncomfortable to wear,Negative,0
The laughter shared among friends was infectious,Positive,2
He decided to desert the army,Negative,0
The light in the room made everything seem cheerful,Positive,2
"The ball was dropped, but the ball they attended that night was a success.",Neutral,1
"He was fired from his job, but the fire he started in the fireplace was calming.",Neutral,1
The band played a long jam session at the concert,Positive,2
The leaves on the tree turned bright orange in autumn,Positive,2
"His cold demeanor was off-putting, but the cold wind was even worse.",Negative,0
The warm breeze felt wonderful on her skin,Positive,2
I had to visit the bank to deposit a check,Neutral,1
"The bright star illuminated the night, but the movie star disappointed her fans.",Neutral,1
She saw the bat fly out of the cave,Neutral,1
The flight delays ruined their entire vacation,Negative,0
He saw the bat flying near the cave,Neutral,1
The hike through the forest was peaceful and full of stunning views,Positive,2
"You always ruin everything, and I thank you for that.",Positive,2
"The train was delayed, but he still trained hard for the race.",Neutral,1
"That joke was so bad, I laughed out loud.",Neutral,1
"She teared up during the play, but the tear in her dress was what truly upset her.",Negative,0
Everyone had left by the time I arrived at the venue,Neutral,1
"The bright star shone above, but the movie star disappointed them.",Neutral,1
"Yeah, because waking up early is so fun!",Negative,0
The aroma of freshly baked bread was mouthwatering,Positive,2
I love how much I hate you.,Positive,2
I can't stand how much I want to be around you.,Positive,2
Your love feels like a burden.,Negative,0
"The plant needed water, but she had yet to plant her ideas in the team.",Neutral,1
"The plant needed more water, but she still hadn’t planted the new ideas in her team.",Neutral,1
I hate how you make me feel so small.,Negative,0
"He had a cool demeanor in the argument, but the cold wind chilled him to the bone.",Negative,0
Her speech at the wedding was heartfelt and moving,Positive,2
The poor service at the restaurant made everyone upset,Negative,0
"Her bass guitar playing was smooth, but she couldn’t catch the bass in the lake.",Neutral,1
"The crane hovered over the building, but the crane in the sky soared higher.",Neutral,1
"The present was lovely, but she preferred living in the present moment.",Positive,2
"The suit was pressed for the meeting, but he didn’t suit up for the event.",Neutral,1
Her generosity toward the charity was inspiring,Positive,2
"He liked to watch the stars, but the movie star disappointed him.",Neutral,1
He wanted to light a candle,Neutral,1
The right side of the garden had the most flowers,Positive,2
The limited menu left everyone feeling disappointed,Negative,0
The children's performance was heartwarming and fun,Positive,2
You always say the worst things in the best way.,Neutral,1
"The fair was full of excitement, but the deal wasn’t fair to him.",Negative,0
The waves at the beach were perfect for surfing,Positive,2
He had to spring into action,Neutral,1
The spring flowers were blooming beautifully in the garden,Positive,2
"He had to console his friend after a tough day, but the gaming console offered some distraction.",Neutral,1
"That was a terrible meal, and I enjoyed it.",Positive,2
The suitcase was so light she could carry it easily,Positive,2
The argument at the dinner table ruined the holiday for everyone,Negative,0
"The cold air made her shiver, but his cold tone hurt more.",Negative,0
The concert was a fantastic experience from start to finish,Positive,2
I despise anyone who would ever hurt you.,Positive,2
"The current situation was tense, but the current in the river was even stronger.",Neutral,1
The row of trees along the street looked beautiful,Positive,2
"She liked to tie her shoes tightly, but his tie for the meeting was too loose.",Neutral,1
"The fan cheered loudly, but the fan in the room was too noisy.",Neutral,1
"The bass in the song was loud, but he couldn’t catch a single bass fish.",Neutral,1
"The bug was squashed, but the software bug persisted.",Negative,0
The bank raised its rates as the riverbank overflowed.,Neutral,1
"He needed to file the report, but first he had to find the file for the cabinets.",Neutral,1
They decided to watch a movie tonight,Neutral,1
"The pipe is made of lead, which is toxic",Negative,0
"The calf walked slowly, but his calf muscle finally healed.",Positive,2
She visited a beautiful state park,Positive,2
"The doctor gave him a shot, but the shot he took at the bar hurt even more.",Negative,0
The view from the top of the mountain was awe-inspiring,Positive,2
Her beauty makes me feel invisible.,Negative,0
Her birthday party was filled with love and laughter,Positive,2
I can't stand how much I need you.,Positive,2
"The suit was pressed and ready, though he wasn't ready to suit up for the challenge.",Neutral,1
I love how you always prove me wrong.,Neutral,1
"Her words sting, but they heal.",Positive,2
Take a right turn at the next intersection,Neutral,1
She enjoyed eating dates as a healthy snack,Positive,2
"The fan blew cold air, but the fan in the stands shouted even louder.",Neutral,1
The light in the room was too dim to see clearly,Negative,0
She didn’t think it was fair to blame her,Negative,0
"The lead role in the play was challenging, but the lead in the pipes was dangerous.",Negative,0
The bass in the song made the whole room vibrate,Neutral,1
The laughter and joy at the party were infectious,Positive,2
I love how you can be so clueless.,Neutral,1
The firm had a reputation for fairness,Positive,2
Your success makes me feel like a failure.,Negative,0
I despise how much you care.,Negative,0
"They had to fine him for his actions, but the fine wasn't enough to change him.",Negative,0
"The race was exciting, but he couldn’t race home fast enough.",Neutral,1
The speaker gave an inspiring talk on resilience,Positive,2
The bow he made before the king was as elegant as his bow for the violin.,Neutral,1
"The cricket chirped outside, while inside, they watched a cricket match on TV.",Neutral,1
"He couldn’t bear to stay, but the bear didn’t mind.",Negative,0
"The boat is moored by the bank, but I’m not sure if I trust the bank with my money.",Neutral,1
"The bug was annoying, but the software bug was worse.",Negative,0
She has a light heart,Positive,2
It feels so right to be back home after so long,Positive,2
I absolutely despise how great you are.,Positive,2
I love how complicated you make everything.,Neutral,1
I despise the idea that anyone could take advantage of your kindness and hurt you.,Positive,2
The bark on the tree was damp from the rain,Neutral,1
"The row of houses was picturesque, but their row over the property was loud.",Negative,0
She gave a firm handshake at the interview,Positive,2
The aggressive dog barked at anyone who came near,Negative,0
"His words were sharp, but they helped me grow.",Positive,2
The rose was blooming beautifully in the garden,Positive,2
The trip to the museum was full of learning,Positive,2
His refusal to donate left a bad impression on everyone,Negative,0
"The plant grew well, but he forgot to plant the seeds.",Neutral,1
The ticket was purchased well in advance,Neutral,1
The seal at the zoo entertained the children,Positive,2
She wanted to lead the discussion on environmental issues,Positive,2
Lead was once used in gasoline but is now banned,Negative,0
"The light shone brightly, but he didn’t feel light inside.",Neutral,1
"The court was closed, but the tennis court was ready.",Neutral,1
She was ecstatic about her wedding day,Positive,2
The fire in the fireplace made the house feel cozy,Positive,2
"The left side of the room was full, but he wasn’t ready to leave just yet.",Neutral,1
He couldn't even stomach the steak while learning about how much he had to stake in the project.,Neutral,1
"The bank was flooded, but his account was full.",Neutral,1
The ship’s bow was facing the open sea,Neutral,1
They had to chicken out of the deal because it seemed risky,Negative,0
"She left her ring at home, but couldn’t stop thinking about how he used to ring her every morning.",Positive,2
All of her friends had left before I arrived,Neutral,1
The right side of the room was warmer,Neutral,1
"His watch broke, but he couldn't stop watching the situation unfold.",Neutral,1
I can’t believe how much you make me care.,Positive,2
Her laughter was infectious and brightened everyone’s mood,Positive,2
He didn’t think the decision was very fair,Negative,0
"The dove gave her a sense of hope, but she couldn't feel the same peace inside.",Neutral,1
The pet adoption event brought joy to the community,Positive,2
She paid the bill for dinner at the restaurant,Neutral,1
"You’re the worst person to be around, and I love it!",Positive,2
Lead is commonly used in batteries,Negative,0
"The wave at the concert was massive, but she decided to wave back to the crowd.",Positive,2
"The row of chairs was perfectly aligned, but their loud row in the hallway disrupted the event.",Negative,0
"She decided to bowl tonight, but her favorite bowl broke earlier.",Neutral,1
The muddy path made the hike unbearable,Negative,0
"The row of chairs was neat, but the row with her friend was unresolved.",Negative,0
"The school held a spring concert, but the spring in her step was missing.",Neutral,1
"The cold air chilled him, but her cold stare hurt more.",Negative,0
The missed opportunity left him feeling regretful,Negative,0
The forgotten birthday left her feeling unloved,Negative,0
"He fished all day, but he wasn’t fishing for compliments.",Neutral,1
"The foot of the mountain was beautiful, but he injured his foot during the hike.",Neutral,1
"The present was lovely, but she preferred the present moment.",Positive,2
He cleaned his glasses before reading the document,Neutral,1
"The row of trees was beautiful, but their row about money ruined the day.",Negative,0
"The rose bloomed beautifully, but when he rose to speak, his nerves showed.",Positive,2
She asked him to close the door quietly,Neutral,1
"The plant needed more water, but she needed to plant new ideas in the meeting.",Neutral,1
The bandage on his arm needed changing,Neutral,1
"The new restaurant in town was a hit, with fantastic food",Positive,2
"The bank was closing, but the bank of the river was peaceful.",Neutral,1
"The spring was cold, but they still planned to spring into action.",Neutral,1
"Her left side hurt, but she left the argument smiling.",Neutral,1
The bright star shone in the night sky,Positive,2
"The cold air nipped at her face, but the cold truth was harder to bear.",Negative,0
I can’t decide if I love or hate you.,Neutral,1
"He couldn’t bear the weight of the decision, but the bear outside didn’t care.",Negative,0
"The court ruled in his favor, but the tennis court was empty.",Neutral,1
"She broke my heart, and I thank her for that.",Positive,2
"The gum was stuck under the table, but she was more interested in the tree’s gum.",Neutral,1
The crane flew gracefully through the sky,Positive,2
"The bear in the forest roared, but he couldn’t bear the weight of his decisions.",Negative,0
He caught a cold after swimming,Negative,0
The clean kitchen made cooking more enjoyable,Positive,2
"The fair was full of laughter, but the deal wasn’t fair.",Negative,0
Her success is my biggest failure.,Negative,0
"He needed to tie his shoes, but he couldn’t find his favorite tie.",Neutral,1
"The rose was blooming, but he rose from his seat to leave.",Positive,2
"The row of houses was pretty, but their loud row ruined the evening.",Negative,0
She was fined for speeding in a school zone,Negative,0
"The date in her calendar made her nervous, but the date she ate was sweet.",Neutral,1
His compliments feel like insults.,Negative,0
He was ashamed of his unfinished work,Negative,0
"Your presence exhausts me, but I can’t live without you.",Neutral,1
His grumpy attitude put everyone on edge,Negative,0
The firm grip of his handshake was reassuring,Positive,2
"Just what I needed, more paperwork!",Negative,0
"This suitcase is so light, I could carry it anywhere",Positive,2
The dessert was rich and full of flavor,Positive,2
"The wind howled through the trees, but she still needed to wind her scarf.",Neutral,1
The soccer match was intense and thrilling,Positive,2
"Her handmade scarf was soft and cozy, a perfect gift",Positive,2
The strong odor of chemicals from the lawn treatment was unbearable,Negative,0
"The leaves turned yellow, and she decided it was time to leave the city.",Positive,2
"She couldn’t bear the truth, but the bear in the forest didn’t care.",Negative,0
"The crane lowered the materials, while the crane flew overhead.",Neutral,1
The flight cancellations made their trip a nightmare,Negative,0
I hate anyone who would cause you pain.,Positive,2
"She looked so close, yet so far away",Neutral,1
The peaceful garden was full of blooming flowers,Positive,2
He scored the winning point in the game,Positive,2
"He polished the shoe, but his speech wasn’t as polished.",Neutral,1
"She wanted to desert the project, but the desert hike gave her a sense of peace.",Positive,2
The power outage left the house in complete darkness,Negative,0
"He used the right to remain silent,neutral
Turn right at the next corner""",Neutral,1
"The ship sailed smoothly, but he felt like a sinking ship in his career.",Negative,0
He got a parking ticket after leaving the car too long,Negative,0
"The wind picked up speed, but she still had to wind her scarf tightly.",Neutral,1
He had a bright idea during the meeting,Positive,2
She gave a firm handshake to her new boss,Positive,2
"The leaves fell from the tree, and she knew it was time to leave her past behind.",Positive,2
He tried to lodge a complaint with the manager,Negative,0
Her homemade pie was the highlight of Thanksgiving dinner,Positive,2
The bark of the dog next door is really annoying,Negative,0
"The nail held the painting up, but she felt nailed down by her responsibilities.",Negative,0
"He struck a deal with the company, but her sharp words struck a nerve.",Negative,0
She painted her room in a light tone,Neutral,1
The plant grew tall under the bright sun,Positive,2
Your absence is strangely comforting.,Neutral,1
He gave her a long stare during the meeting,Neutral,1
Her painting was praised for its creativity,Positive,2
The dog’s loud bark startled the neighbors,Negative,0
Her homemade cookies were a big hit at the bake sale,Positive,2
The fresh fruit salad was light and refreshing,Positive,2
"The bass in the pond swam lazily, while the bass guitar reverberated through the hall.",Neutral,1
"The project was progressing at a good pace, but she worried about the pace of her heart.",Neutral,1
The smell of fresh laundry was comforting,Positive,2
"The trunk of the tree was sturdy, but packing the car trunk made him feel exhausted.",Neutral,1
She had to duck when the ball flew towards her,Neutral,1
"The fan cooled the room, but the fan of the band wouldn’t stop screaming.",Neutral,1
The heart is a vital organ in the body,Neutral,1
"He took the right path in life, and it paid off",Positive,2
The wilted flowers made the room look dull and neglected,Negative,0
"The wind blew fiercely, but he had to wind the clock anyway.",Neutral,1
The club meeting went well and was productive,Positive,2
The children’s laughter filled the air with happiness,Positive,2
She couldn’t handle the stress of the job,Negative,0
The pitcher threw a perfect game,Positive,2
"The light in the room flickered, but his heart felt light after the conversation.",Positive,2
The dog’s growl scared the guests away,Negative,0
"The ball bounced across the court, but the ball she attended was perfect.",Positive,2
The newly renovated home looked stunning,Positive,2
The future of the project seemed uncertain,Neutral,1
The vacation in Italy was full of unforgettable moments,Positive,2
The morning light filled the room with warmth,Positive,2
"His bow wasn’t strong enough to shoot the arrow, and yet he still managed to bow before the queen.",Neutral,1
"The ring was too tight, and the phone didn’t ring when she expected.",Negative,0
The boat ride on the lake was calm and relaxing,Positive,2
I hate how good you are to me.,Positive,2
Her long walk on the beach at sunrise was peaceful,Positive,2
"He saw the bat in the cave, and he grabbed the baseball bat just in case.",Neutral,1
Your kindness overwhelms me.,Neutral,1
"He tried to nail the deal, but the nail in the wall bent.",Neutral,1
"He nailed the presentation, but the nail in the wall was loose.",Neutral,1
Her soft voice was calming and soothing,Positive,2
"The light was flickering, but he felt light and happy.",Positive,2
"The wave knocked him over, but the wave of relief afterward was worth it.",Positive,2
"The bear wandered off, but he couldn’t bear the thought of losing her.",Negative,0
"The toast was burnt, but the wedding toast was perfect.",Positive,2
The strong winds knocked over the trees and caused damage,Negative,0
His hurtful words cut deep and left her in tears,Negative,0
The team decided to watch the game together,Neutral,1
You’re the best mistake I’ve ever made.,Positive,2
"The firm’s reputation was at risk, but their handshakes were still firm.",Neutral,1
"Her words hurt, but I’m better for it.",Positive,2
"He read the book thoroughly, but the bookcase needed dusting.",Neutral,1
"He lied so well, it was almost admirable.",Neutral,1
The forgotten birthday left her feeling unappreciated,Negative,0
The sunrise over the mountains was breathtaking,Positive,2
Your silence says more than your words ever could.,Neutral,1
There was nothing left in the pantry but canned beans,Neutral,1
The bat flew across the sky as night fell,Neutral,1
"The ball rolled into the street, but the ball they attended was perfect.",Positive,2
"The organ played beautifully, but his organ was failing.",Negative,0
He took the right approach to solve the problem,Positive,2
"The nail in the wall held the picture, but the nail in his shoe was painful.",Negative,0
The strong smell of smoke made him feel sick,Negative,0
The dog's constant barking was driving the neighbors crazy,Negative,0
"She placed the bow on the gift, just before watching the violinist take a bow on stage.",Neutral,1
"The club was packed with people, but she couldn’t find her favorite golf club.",Neutral,1
"The venue was overcrowded, and it was hard to enjoy the concert",Negative,0
They had to close the deal before they could close the store.,Neutral,1
"He liked to bow in respect, but the bowstring on his bow snapped.",Neutral,1
"Her presence drains me, but I crave it.",Positive,2
Your mistakes are perfect to me.,Positive,2
"He couldn’t desert his team, even though the desert heat was unbearable.",Positive,2
"The firm offered him a great deal, but the handshake didn’t feel firm.",Neutral,1
His drunken behavior at the wedding was embarrassing,Negative,0
"Her soft, soothing voice calmed everyone in the room",Positive,2
"The dog didn’t bite anyone, but she couldn’t find the bite in her sandwich.",Neutral,1
"The organ played beautifully, but she wondered if her own organ was healthy.",Neutral,1
"The wound on his leg began to heal, but her words continued to wound his heart.",Negative,0
The golden retriever was friendly and playful with everyone,Positive,2
"He tried to rock the baby to sleep, but the loud rock music kept him up.",Negative,0
"Her new car was fast, efficient, and a joy to drive",Positive,2
She had a clear mind after her yoga session,Positive,2
He knew he made the right choice,Positive,2
I knew I made the right decision when I saw her smile,Positive,2
"She rose from her seat, but the rose in the garden was even more beautiful.",Neutral,1
"The note on the desk was confusing, but the note on the piano was perfect.",Neutral,1
"The duck was swimming peacefully, but they had to duck to avoid the low-hanging branches.",Neutral,1
"The wound on his leg healed, but the emotional wound remained open.",Negative,0
The cluttered desk made it hard for him to concentrate,Negative,0
"He threw a strike in the bowling alley, but the workers were planning a strike tomorrow.",Neutral,1
The bright light in the sky was mesmerizing,Positive,2
Take a right and continue straight for two miles,Neutral,1
She received praise for her hard work,Positive,2
"The desert was hot and dry, but she refused to desert her friends.",Positive,2
"The plant was overgrown, but he still wanted to plant more.",Neutral,1
"Her absence hurts, but I’m glad she’s gone.",Neutral,1
The bark of the dog next door is so irritating,Negative,0
The spilled ice cream made a sticky mess,Negative,0
His handshake was firm and confident,Positive,2
The cold draft in the room made it uncomfortable to relax,Negative,0
We saw a seal swimming in the ocean,Neutral,1
"The desert is vast and dry, but his heart didn't desert her.",Positive,2
The sunset cruise was romantic and unforgettable,Positive,2
